wavelength_um,global_tilt_um,direct_normal_um
1.024,690.5799999999999,650.77
1.025,697.53,657.27
1.026,696.36,656.25
1.027,693.0500000000001,653.18
1.028,693.85,653.98
1.029,686.28,646.8699999999999
1.03,690.55,650.9200000000001
1.031,687.36,647.99
1.032,687.87,648.52
1.033,676.13,637.51
1.034,680.15,641.36
1.035,682.3399999999999,643.48
1.036,682.02,643.23
1.037,674.9699999999999,636.64
1.038,671.72,633.61
1.039,676.36,638.02
1.04,671.6999999999999,633.66
1.041,671.76,633.79
1.042,672.0,634.06
1.043,665.25,627.73
1.044,668.3299999999999,630.67
1.045,664.52,627.12
1.046,647.1400000000001,610.78
1.047,656.9399999999999,620.0799999999999
1.048,662.74,625.59
1.049,658.96,622.06
1.05,654.63,618.02
1.051,655.2099999999999,618.6199999999999
1.052,651.18,614.87
1.053,649.19,613.02
1.054,646.46,610.48
1.055,648.47,612.42
1.056,646.4100000000001,610.5500000000001
1.057,644.8199999999999,609.1
1.058,638.18,602.8599999999999
1.059,618.75,584.53
1.06,635.85,600.73
1.061,621.21,586.94
1.062,632.66,597.82
1.063,622.39,588.15
1.064,631.9599999999999,597.22
1.065,629.13,594.61
1.066,617.13,583.3000000000001
1.067,620.3199999999999,586.3699999999999
1.068,619.4399999999999,585.61
1.069,586.26,554.28
1.07,604.6899999999999,571.78
1.071,616.61,583.04
